% 1. Title: Flickr Golf Ball Images
% 
% 2. Sources:
%      (a) Creator: A. Colello
%      (b) Donor: Flickr (flickr.com)
%      (c) Date: February, 2016
% 
@RELATION golfballs

@ATTRIBUTE url  STRING
@ATTRIBUTE algorithm    STRING
@ATTRIBUTE xcenter   NUMERIC
@ATTRIBUTE ycenter   NUMERIC
@ATTRIBUTE meanpx   NUMERIC
@ATTRIBUTE medianpx   NUMERIC
@ATTRIBUTE modepx   NUMERIC
@ATTRIBUTE radius   NUMERIC
@ATTRIBUTE radiusheightpct   NUMERIC
@ATTRIBUTE radiuswidthpct  NUMERIC
@ATTRIBUTE class        {POSITIVE,NEGATIVE}

@DATA
https://farm2.staticflickr.com/1102/5117093816_a9c4c383c9.jpg,MANUAL,255,274,121.237932308,113.0,0,159,0.318,0.318,POSITIVE
https://farm4.staticflickr.com/3521/3753864330_fc3d36755a.jpg,MANUAL,154,252,121.465875266,120.0,255,85,0.255255255255,0.17,POSITIVE
https://farm3.staticflickr.com/2643/3753861818_662a81c0c6.jpg,MANUAL,103,258,120.0766,118.0,255,50,0.15015015015,0.1,POSITIVE
https://farm4.staticflickr.com/3489/3753869790_4956e5478c.jpg,MANUAL,306,244,125.269819272,126.0,255,86,0.258258258258,0.172,POSITIVE
https://farm4.staticflickr.com/3429/3753074355_dea84d53b2.jpg,MANUAL,96,354,157.337371185,164.0,255,58,0.116,0.174174174174,POSITIVE
https://farm4.staticflickr.com/3001/2519474886_4c4dd87d5f.jpg,MANUAL,360,117,67.2769993805,47.0,0,144,0.384,0.288,POSITIVE
https://farm3.staticflickr.com/2489/3753094819_3b182acf02.jpg,MANUAL,105,390,59.6576427325,39.0,0,117,0.234,0.351351351351,POSITIVE
https://farm3.staticflickr.com/2636/3753886656_7697149ebe.jpg,MANUAL,121,398,63.4996728006,40.0,0,151,0.302,0.453453453453,POSITIVE
https://farm4.staticflickr.com/3499/3753884788_b7ec790071.jpg,MANUAL,131,385,66.1503700205,42.0,0,146,0.292,0.438438438438,POSITIVE
https://farm3.staticflickr.com/2506/3753877062_f07660f945.jpg,MANUAL,73,389,57.7272773015,35.0,0,91,0.182,0.273273273273,POSITIVE
https://farm3.staticflickr.com/2427/3753880016_e731144ebd.jpg,MANUAL,89,416,137.785866857,135.0,255,53,0.106,0.159159159159,POSITIVE
https://farm3.staticflickr.com/2294/1975875218_0610e6e722.jpg,MANUAL,227,217,68.631560843,41.0,16,161,0.429333333333,0.322,POSITIVE
https://farm3.staticflickr.com/2598/3753084645_9136798d32.jpg,MANUAL,96,373,122.442891696,115.0,255,61,0.122,0.183183183183,POSITIVE
https://farm6.staticflickr.com/5028/5690773693_bbd9520e4f.jpg,MANUAL,348,182,49.0521970372,32.0,0,134,0.402402402402,0.268,POSITIVE
https://farm6.staticflickr.com/5540/9656873877_c8a4b9849f.jpg,MANUAL,354,391,79.0741897944,75.0,0,138,0.276,0.276,POSITIVE
https://farm9.staticflickr.com/8432/7811952096_4178084a54.jpg,MANUAL,227,204,92.8015684617,88.0,0,124,0.374622356495,0.248,POSITIVE
https://farm9.staticflickr.com/8738/16580900700_37478070f3.jpg,MANUAL,0,0,?,?,?,0,?,?,NEGATIVE
https://farm5.staticflickr.com/4152/5013096054_8f233bfee3.jpg,MANUAL,328,333,79.5662737881,85.0,0,113,0.226,0.226,POSITIVE
https://farm3.staticflickr.com/2601/3753093167_d9f9a8fa55.jpg,MANUAL,114,242,67.8496790123,46.0,0,125,0.375375375375,0.25,POSITIVE
https://farm3.staticflickr.com/2659/3753867028_73931a286d.jpg,MANUAL,312,256,127.658843392,128.0,255,86,0.258258258258,0.172,POSITIVE
https://farm3.staticflickr.com/2032/3527881656_f0be589676.jpg,MANUAL,312,226,111.796982988,119.0,0,76,0.269503546099,0.178823529412,POSITIVE
https://farm3.staticflickr.com/2452/3753076605_65a1fb419d.jpg,MANUAL,142,301,163.900356834,165.0,255,68,0.136,0.204204204204,POSITIVE
https://farm6.staticflickr.com/5213/5499702132_af85b3c4f6.jpg,MANUAL,0,0,?,?,?,0,?,?,NEGATIVE
https://farm7.staticflickr.com/6238/6269694594_1ffdb581f3.jpg,MANUAL,371,317,60.2515036757,56.0,0,67,0.171355498721,0.134,POSITIVE
https://farm6.staticflickr.com/5490/9279832145_ab3387f586.jpg,MANUAL,247,305,74.9109700521,45.0,0,128,0.256,0.256,POSITIVE
https://farm4.staticflickr.com/3131/2618131351_3829c92635.jpg,MANUAL,174,322,78.9975447102,56.0,0,137,0.274,0.411411411411,POSITIVE
https://farm7.staticflickr.com/6178/6269618452_e4a3411dc7.jpg,MANUAL,369,352,62.718273892,61.0,0,76,0.172727272727,0.152,POSITIVE
https://farm8.staticflickr.com/7205/6850895027_2403bc6999.jpg,MANUAL,0,0,?,?,?,0,?,?,NEGATIVE
https://farm2.staticflickr.com/1292/1391640704_23c231f31b.jpg,MANUAL,169,419,132.28025493,127.0,255,84,0.168,0.224,POSITIVE
https://farm2.staticflickr.com/1051/5140569497_63602dc0a0.jpg,MANUAL,191,286,48.9281095716,40.0,0,115,0.325779036827,0.23,POSITIVE
https://farm3.staticflickr.com/2551/3753091335_e5cb47c11f.jpg,MANUAL,83,416,90.5535193669,66.0,0,49,0.098,0.147147147147,POSITIVE
https://farm4.staticflickr.com/3206/3001332120_ed81b77c94.jpg,MANUAL,429,180,94.7958759591,72.0,0,136,0.408408408408,0.272,POSITIVE
https://farm5.staticflickr.com/4058/4692491212_87d9cdc99c.jpg,MANUAL,373,218,68.8268230888,53.0,0,89,0.297658862876,0.178,POSITIVE
https://farm4.staticflickr.com/3206/3001332120_ed81b77c94.jpg,MANUAL,424,179,95.6674497378,73.0,0,132,0.396396396396,0.264,POSITIVE
https://farm8.staticflickr.com/7043/6861487717_a51f8705c9.jpg,MANUAL,0,0,?,?,?,0,?,?,NEGATIVE
https://farm9.staticflickr.com/8243/8654383681_da0bbc2b0f.jpg,MANUAL,0,0,?,?,?,0,?,?,NEGATIVE
https://farm7.staticflickr.com/6129/6000443501_631dd97fa5.jpg,MANUAL,289,265,22.666512574,18.0,0,52,0.157099697885,0.104,POSITIVE
https://farm7.staticflickr.com/6071/6084527296_75c2c8301c.jpg,MANUAL,0,0,?,?,?,0,?,?,NEGATIVE
